,Timestamp,ID,Age,Wat is uw gender?,In hoeverre zou u uw kennis van VR omschrijven?,Heeft u al eens eerder een VR bril gebruikt,Mijn ademhaling is sneller dan normaal,Mijn hartslag is hoger dan normaal,"Mijn spieren voelen gespannen (gesloten vuisten, strakke kaak/wenkbrauwen etc.)",Mijn spieren voelen relaxed,Mijn spieren voelen losjes,Ik voel mij relaxed,"Op het moment, ben ik volkomen kalm",Ik voel mij slaperig en/of moe,Ik sta op het punt om in slaap te vallen,Ik voel mij verfrist en wakker,Mijn ademhaling is sneller dan normaal.1,"Mijn spieren voelen gespannen (gesloten vuisten, strakke kaak/wenkbrauwen etc.).1",Mijn hartslag is hoger dan normaal.1,Mijn spieren voelen relaxed.1,Mijn spieren voelen losjes.1,Ik voel mij relaxed.1,"Op het moment, ben ik volkomen kalm.1",Ik voel mij slaperig en/of moe.1,Ik sta op het punt om in slaap te vallen.1,Ik voel mij verfrist en wakker.1
0,2023/12/06 1:47:25 pm CET,4,20,Man,4,Ja,3,4,3,4,4,3,2,2,1,5,2,2,2,6,5,5,2,1,1,6
1,2023/12/06 2:03:24 pm CET,5,20,Vrouw,1,Nee,4,4,2,6,5,6,6,4,2,6,2,2,4,5,5,6,6,3,1,6
2,2023/12/06 2:30:59 pm CET,7,20,Vrouw,4,Nee,4,5,2,3,3,3,4,5,3,4,5,3,5,3,3,2,3,3,2,3
3,2023/12/06 2:47:46 pm CET,8,19,Man,6,Ja,5,5,3,5,3,6,5,5,2,4,2,2,3,5,5,6,6,6,5,4
4,2023/12/06 4:07:59 pm CET,13,19,Man,5,Ja,2,3,3,5,5,4,5,2,1,4,2,1,3,5,5,5,4,4,2,4
5,2023/12/06 4:50:40 pm CET,15,20,Vrouw,4,Ja,4,4,5,3,3,4,4,4,3,5,2,3,2,5,5,6,5,5,5,4
6,2023/12/06 5:05:31 pm CET,16,23,Vrouw,1,Nee,5,5,4,3,5,3,3,1,1,7,6,4,5,6,5,5,4,5,4,5
7,2023/12/07 2:06:28 pm CET,22,19,Man,7,Ja,2,1,1,5,4,3,3,5,2,4,3,2,3,2,3,5,4,4,2,3
8,2023/12/07 2:43:43 pm CET,25,21,Man,2,Nee,4,4,3,5,4,4,4,4,4,5,4,4,4,5,5,5,6,3,6,4
9,2023/12/07 3:15:40 pm CET,27,19,Man,2,Ja,5,5,2,3,4,6,6,6,5,3,3,2,4,3,5,6,5,6,5,4
10,2023/12/07 3:33:20 pm CET,28,23,Vrouw,2,Nee,5,5,5,3,5,3,1,2,1,3,2,2,2,5,6,6,5,6,5,5
11,2023/12/07 4:06:52 pm CET,30,19,Man,5,Ja,2,5,5,3,3,5,6,2,1,6,1,2,1,6,5,5,6,3,4,3
12,2023/12/07 4:40:43 pm CET,32,20,Man,3,Ja,4,5,2,4,4,5,5,6,3,3,3,3,5,5,6,5,4,5,4,3
13,2023/12/07 4:50:26 pm CET,33,21,Vrouw,2,Nee,5,5,6,2,3,3,2,2,1,5,2,2,2,7,6,6,5,6,5,4
14,2023/12/07 5:05:36 pm CET,34,19,Vrouw,3,Ja,3,3,5,2,2,3,2,2,2,5,2,2,3,5,5,5,5,6,6,2
15,2023/12/07 8:43:08 pm CET,35,18,Vrouw,2,Ja,1,1,1,5,4,4,3,2,5,1,1,2,1,6,6,4,4,2,5,3
16,2023/12/07 9:30:49 pm CET,36,25,Man,1,Nee,4,3,4,3,3,3,3,4,2,2,2,2,2,6,5,5,6,6,6,2
17,2023/12/08 10:24:25 am CET,37,22,Man,3,Nee,1,1,2,6,5,4,5,3,1,5,1,1,1,5,5,5,6,4,1,5
